iteration,loss,layer1_filters,layer1_kernel,layer2_filters,layer2_kernel,layer3_filters,layer3_kernel,layer4_filters,layer4_kernel,auc_val,acc_val,acc_gamma_val,acc_proton_val,loss_val,run_time
67,0.1144543,49,3,117,6,250,3,181,5,0.8855457,0.79687953,0.78015125,0.8125607,0.8467888,6861.057496194
68,0.1120734,43,5,90,7,165,6,337,3,0.8879266,0.79627365,0.8459445,0.74971217,0.83884996,6951.021673452007
69,0.10890690000000004,46,4,124,6,239,4,403,6,0.8910931,0.80163366,0.8373471,0.7681559,0.82547206,7292.265939204008
70,0.10903609999999997,56,5,114,5,186,5,354,5,0.8909639,0.79925656,0.8586119,0.74361694,0.82936007,6846.983092316994
71,0.11335579999999999,47,2,106,7,227,6,271,3,0.8866442,0.79774183,0.78959155,0.80538183,0.843128,3063.5970191359997
72,0.10780710000000003,62,6,94,6,204,10,130,4,0.8921929,0.8025891,0.8273047,0.77942073,0.8196385,3043.263056004
73,0.11715834999999995,61,3,97,4,173,10,127,2,0.88284165,0.7955512,0.8015605,0.78991807,0.8534825,3060.318257461999
74,0.12022847000000005,63,5,128,5,214,2,434,2,0.87977153,0.78986496,0.83616704,0.7464614,0.87124485,3119.436364854002
75,0.11671763999999996,40,4,104,6,201,5,74,4,0.88328236,0.7892124,0.8634765,0.7195973,0.87171066,3105.1066808539977
76,0.10836210000000003,54,4,111,4,146,10,473,4,0.8916379,0.8032183,0.81798476,0.78937626,0.82162714,3045.8820302530003
77,0.11010549999999997,45,6,78,5,166,7,367,3,0.8898945,0.80078304,0.83024275,0.7731675,0.8289455,3099.796540434
78,0.11152077000000003,33,3,92,6,153,8,425,3,0.88847923,0.79886043,0.7863645,0.81057405,0.8387102,3085.6741793990004
79,0.11172930000000003,36,5,118,7,119,10,16,6,0.8882707,0.7995712,0.8023071,0.79700655,0.83590335,3084.8901131799976
80,0.11459989999999998,38,6,101,8,177,9,163,4,0.8854001,0.7920672,0.86749834,0.7213581,0.851951,3051.3046342339985
81,0.12132584999999994,52,4,95,9,208,3,53,2,0.87867415,0.7867305,0.73677874,0.83355534,0.8824321,3053.9105331840037
82,0.10990255999999997,62,7,114,3,132,9,217,7,0.89009744,0.7990702,0.85536075,0.7463034,0.83293474,3062.597778807998
83,0.1075068,59,6,124,7,189,10,207,4,0.8924932,0.7979399,0.86829305,0.7319909,0.8275502,3159.622980858003
84,0.10711079999999996,58,5,109,8,183,8,315,4,0.8928892,0.801051,0.8586119,0.7470935,0.8213631,3167.990778006999
85,0.10868436000000004,60,6,125,9,184,8,318,3,0.89131564,0.80077136,0.8524468,0.75233084,0.8261423,3616.531279576004
86,0.10830660000000003,57,6,99,10,144,10,236,5,0.8916934,0.80077136,0.8469078,0.75752306,0.8231683,3306.023628185001
87,0.11241376000000004,58,7,89,8,137,8,258,2,0.88758624,0.7991517,0.80967635,0.78928596,0.8392283,3104.438573920001
88,0.10850110000000003,60,5,122,9,219,10,295,5,0.8914989,0.8017502,0.83448124,0.77106804,0.8213529,4626.238878817996
89,0.1089867,63,6,119,8,192,9,399,3,0.8910133,0.8001305,0.8481119,0.7551527,0.8253143,5542.959814597009
90,0.11145174999999996,62,6,66,7,167,8,329,4,0.88854825,0.79776514,0.8398517,0.7583132,0.8323548,5549.525844422999
91,0.11184720000000004,59,5,84,8,124,10,206,5,0.8881528,0.7988371,0.80163276,0.7962164,0.8360357,5584.474351026001
92,0.10997224000000004,56,7,107,9,160,7,272,6,0.89002776,0.79592407,0.86159813,0.73436123,0.8344165,4071.5148834429997
93,0.11575245999999995,63,4,72,8,106,9,174,2,0.88424754,0.7835029,0.888137,0.6854189,0.8847076,3111.4555948920024
94,0.11251204999999996,19,4,82,10,178,9,282,4,0.88748795,0.79612213,0.8433918,0.7518116,0.8365009,3034.210146099999
95,0.11061849999999997,55,7,114,7,152,8,152,3,0.8893815,0.8005383,0.8125662,0.78926337,0.83028257,3068.563061997004
96,0.10977733,53,5,102,8,188,10,234,6,0.89022267,0.8003985,0.7858829,0.81400543,0.8312487,3121.9041636790057
97,0.1081668,61,6,76,7,197,7,252,4,0.8918332,0.8024959,0.8146614,0.7910919,0.82168806,3053.2494566050013
98,0.11039823000000004,57,7,88,9,251,9,360,3,0.88960177,0.79707766,0.8619834,0.73623496,0.83372766,3373.579760500012
99,0.10990803999999997,59,5,93,10,213,10,206,5,0.89009196,0.7915662,0.8829111,0.7059395,0.84589064,6982.828965364999
100,0.11073429999999997,53,3,126,7,241,7,104,4,0.8892657,0.8002354,0.8232588,0.7786532,0.83080417,6930.8101916970045
